Dt_name Cre_transcriptID	Cre_transcript_E_value	Cre_geneID	Cre_proteinID	Cre_protein_definition
Locus_2_Transcript_28/35_Confidence_0.101_Length_1231	CHLREDRAFT144609	8e-59	Chlre2_kg.scaffold_11000154	Cre12.g508750.t1.1	photosystem I light harvesting complex gene 6
Locus_2_Transcript_29/35_Confidence_0.121_Length_1979	CHLREDRAFT187025	7e-86	estExt_fgenesh2_pg.C_30070	Cre06.g272650.t1.1	photosystem I light harvesting complex gene 5
Locus_2_Transcript_33/35_Confidence_0.212_Length_2059	CHLREDRAFT184479	6e-112	estExt_fgenesh2_kg.C_260046	Cre06.g284200.t1.1	photosystem II light harvesting complex gene 2.1
Locus_2_Transcript_34/35_Confidence_0.212_Length_1430	CHLREDRAFT184067	2e-131	estExt_fgenesh2_kg.C_200058	Cre12.g548400.t1.1	photosystem II light harvesting complex gene 2.2
Locus_3_Transcript_8/10_Confidence_0.565_Length_2673	CHLREDRAFT128745	0.0	estExt_gwp_1H.C_150086	Cre04.g229300.t1.2	rubisco activase
Locus_5_Transcript_6/1220_Confidence_1.000_Length_621	CHLREDRAFT29687	8e-65	estExt_fgenesh1_pg.C_30321	Cre06.g261900.t1.1	NA
Locus_5_Transcript_17/1220_Confidence_1.000_Length_433	CHLREDRAFT377876	8e-80	estExt_fgenesh1_pm.C_chromosome_30541	Cre03.g199050.t1.1	Protein kinase family protein
Locus_5_Transcript_38/1220_Confidence_1.000_Length_1168	CHLREDRAFT120707	2e-29	e_gwW.39.82.1	Cre16.g653850.t1.1	CSL zinc finger domain-containing protein
Locus_5_Transcript_77/1220_Confidence_1.000_Length_1737	CHLREDRAFT116356	2e-175	e_gwW.1.567.1	Cre14.g621000.t1.1	crooked neck protein, putative / cell cycle protein, putative
Locus_5_Transcript_86/1220_Confidence_1.000_Length_1242	CHLREDRAFT338517	3e-121	pm.chromosome_10_#_196	Cre10.g433100.t1.1	GTP1/OBG family protein
Locus_5_Transcript_100/1220_Confidence_1.000_Length_1041			Cre19.g754100.t1.1	NA
Locus_5_Transcript_142/1220_Confidence_1.000_Length_1272	CHLREDRAFT422235	1e-78	pasa_Sanger_mRNA3590	Cre10.g430050.t1.1	ubiquitin-conjugating enzyme 22
Locus_5_Transcript_301/1220_Confidence_1.000_Length_871	CHLREDRAFT81593	3e-113	estExt_GenewiseW_1.C_370049	Cre16.g663500.t1.1	regulatory particle non-ATPase 10
Locus_5_Transcript_307/1220_Confidence_1.000_Length_685	CHLREDRAFT183767	1e-145	estExt_fgenesh2_kg.C_10275	Cre14.g619100.t1.1	CLP protease proteolytic subunit 1
Locus_5_Transcript_327/1220_Confidence_1.000_Length_1064	CHLREDRAFT138922	6e-119	estExt_gwp_1W.C_350040	Cre09.g406200.t1.1	Class II aaRS and biotin synthetases superfamily protein
Locus_5_Transcript_396/1220_Confidence_1.000_Length_1569	CHLREDRAFT170607	2e-143	fgenesh2_pg.C_scaffold_14000057	Cre03.g187150.t1.2	NA
Locus_5_Transcript_406/1220_Confidence_1.000_Length_1167	CHLREDRAFT287561	2e-82	au.g5788_t1	Cre15.g636400.t1.2	DERLIN-2.2
Locus_5_Transcript_415/1220_Confidence_1.000_Length_751	CHLREDRAFT166554	2e-43	fgenesh2_pg.C_scaffold_5000023	Cre02.g116300.t1.1	Transcription initiation Spt4-like protein
Locus_5_Transcript_546/1220_Confidence_1.000_Length_205			Cre01.g007901.t1.2	Di-haem cytochrome, transmembrane;Cytochrome b/b6, C-terminal
Locus_5_Transcript_787/1220_Confidence_1.000_Length_329	CHLREDRAFT395228	1e-08	pasa_Sanger_mRNA13161	Cre08.g386150.t1.1	NA
Locus_5_Transcript_815/1220_Confidence_1.000_Length_564	CHLREDRAFT192884	1e-29	estExt_fgenesh2_pg.C_330069	Cre11.g479600.t1.2	magnesium/proton exchanger
Locus_5_Transcript_906/1220_Confidence_1.000_Length_547	CHLREDRAFT148771	5e-37	Chlre2_kg.scaffold_24000170	Cre02.g122800.t1.1	NA
Locus_5_Transcript_973/1220_Confidence_1.000_Length_2060	CHLREDRAFT38363	0.0	gwH.3.28.1	Cre06.g259800.t1.1	MIF4G domain-containing protein / MA3 domain-containing protein
Locus_5_Transcript_983/1220_Confidence_1.000_Length_122	CHLREDRAFT106469	6e-14	e_gwH.44.32.1	Cre07.g320700.t1.2	NA
Locus_5_Transcript_1211/1220_Confidence_0.004_Length_2954	CHLREDRAFT56014	2e-89	estExt_GenewiseH_1.C_150140	Cre04.g221700.t1.1	Cytochrome c oxidase, subunit III
Locus_6_Transcript_1/1_Confidence_1.000_Length_2199	CHLREDRAFT161085	0.0	fgenesh2_kg.C_scaffold_3000023	Cre06.g272050.t1.1	Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent
Locus_10_Transcript_1/1_Confidence_1.000_Length_1608	CHLREDRAFT104382	7e-53	e_gwH.25.98.1	Cre29.g778000.t1.1	splicing factor-related
Locus_11_Transcript_3/3_Confidence_0.880_Length_7794	CHLREDRAFT406160	1e-128	pasa_Sanger_mRNA1496	Cre01.g067150.t1.1	NA
Locus_13_Transcript_2/5_Confidence_0.273_Length_1544	CHLREDRAFT407573	4e-64	pasa_Sanger_mRNA1516	Cre01.g068100.t1.1	receptor homology region transmembrane domain ring H2 motif protein 1
Locus_14_Transcript_1/1_Confidence_1.000_Length_1444	CHLREDRAFT144056	1e-13	Chlre2_kg.scaffold_9000287	Cre03.g165100.t1.1	photsystem I subunit I
Locus_15_Transcript_23/108_Confidence_1.000_Length_381	CHLREDRAFT294620	3e-13	au.g12372_t1	Cre06.g248800.t1.1	NA
Locus_15_Transcript_26/108_Confidence_1.000_Length_1536	CHLREDRAFT206544	2e-48	SKA_Chlre2_kg.scaffold_1000380	Cre01.g031550.t1.2	NA
Locus_15_Transcript_49/108_Confidence_1.000_Length_818			Cre03.g198242.t1.1	NA
Locus_15_Transcript_68/108_Confidence_1.000_Length_1522	CHLREDRAFT81760	0.0	estExt_GenewiseW_1.C_410007	Cre18.g747800.t1.1	NA
Locus_15_Transcript_84/108_Confidence_1.000_Length_101	CHLREDRAFT285171	4e-07	au.g3540_t1	Cre12.g523700.t1.1	NA
Locus_15_Transcript_105/108_Confidence_0.045_Length_3038			Cre12.g494700.t1.1	RNA binding;RNA-directed DNA polymerases
