Dt_name Cre_transcriptID	Cre_transcript	E_value	Cre_geneID
Locus_2_Transcript_28/35_Confidence_0.101_Length_1231	CHLREDRAFT_144609	8e-59	Chlre2_kg.scaffold_11000154
Locus_2_Transcript_29/35_Confidence_0.121_Length_1979	CHLREDRAFT_187025	7e-86	estExt_fgenesh2_pg.C_30070
Locus_2_Transcript_33/35_Confidence_0.212_Length_2059	CHLREDRAFT_184479	6e-112	estExt_fgenesh2_kg.C_260046
Locus_2_Transcript_34/35_Confidence_0.212_Length_1430	CHLREDRAFT_184067	2e-131	estExt_fgenesh2_kg.C_200058
Locus_3_Transcript_8/10_Confidence_0.565_Length_2673	CHLREDRAFT_128745	0.0	estExt_gwp_1H.C_150086
Locus_5_Transcript_6/1220_Confidence_1.000_Length_621	CHLREDRAFT_29687	8e-65	estExt_fgenesh1_pg.C_30321
Locus_5_Transcript_17/1220_Confidence_1.000_Length_433	CHLREDRAFT_377876	8e-80	estExt_fgenesh1_pm.C_chromosome_30541
Locus_5_Transcript_38/1220_Confidence_1.000_Length_1168	CHLREDRAFT_120707	2e-29	e_gwW.39.82.1
Locus_5_Transcript_77/1220_Confidence_1.000_Length_1737	CHLREDRAFT_116356	2e-175	e_gwW.1.567.1
Locus_5_Transcript_86/1220_Confidence_1.000_Length_1242	CHLREDRAFT_338517	3e-121	pm.chromosome_10_#_196
Locus_5_Transcript_142/1220_Confidence_1.000_Length_1272	CHLREDRAFT_422235	1e-78	pasa_Sanger_mRNA3590
Locus_5_Transcript_301/1220_Confidence_1.000_Length_871	CHLREDRAFT_81593	3e-113	estExt_GenewiseW_1.C_370049
Locus_5_Transcript_307/1220_Confidence_1.000_Length_685	CHLREDRAFT_183767	1e-145	estExt_fgenesh2_kg.C_10275
Locus_5_Transcript_327/1220_Confidence_1.000_Length_1064	CHLREDRAFT_138922	6e-119	estExt_gwp_1W.C_350040
Locus_5_Transcript_396/1220_Confidence_1.000_Length_1569	CHLREDRAFT_170607	2e-143	fgenesh2_pg.C_scaffold_14000057
Locus_5_Transcript_406/1220_Confidence_1.000_Length_1167	CHLREDRAFT_287561	2e-82	au.g5788_t1
Locus_5_Transcript_415/1220_Confidence_1.000_Length_751	CHLREDRAFT_166554	2e-43	fgenesh2_pg.C_scaffold_5000023
Locus_5_Transcript_787/1220_Confidence_1.000_Length_329	CHLREDRAFT_395228	1e-08	pasa_Sanger_mRNA13161
Locus_5_Transcript_815/1220_Confidence_1.000_Length_564	CHLREDRAFT_192884	1e-29	estExt_fgenesh2_pg.C_330069
Locus_5_Transcript_906/1220_Confidence_1.000_Length_547	CHLREDRAFT_148771	5e-37	Chlre2_kg.scaffold_24000170
